entity_id,entity_name,entity_type,registration_number,registration_date,registration_age_days,jurisdiction,jurisdiction_risk,sector,sector_risk,ubo_name,ubo_nationality,ubo_count,ubo_disclosed,ubo_pep_flag,ubo_sanctions_flag,entity_sanctions_flag,worldcheck_hit,shell_company_flag,complex_structure_flag,num_subsidiaries,layering_depth,adverse_media_flag,adverse_media_count,annual_turnover_cr,declared_income_cr,income_turnover_gap,dormant_flag,director_name,multi_directorship_flag,director_company_count,docs_complete,rule_risk_score,sar_label,jurisdiction_risk_enc,sector_risk_enc,entity_type_enc,reg_age_years,ubo_opacity_score,structure_complexity,financial_opacity,alert_signal_count,ml_risk_score,ml_risk_tier,ml_alert
ENT00001,Patel Trading LLP,Private Limited,REG864444,2010-08-20,5732,Singapore,Medium,Pawnbroking,Medium,Sunita Chen,Nigerian,2,1,0,0,0,0,0,0,4,1,0,0,397.34,133.7,3.76,0,John Nair,0,1,1,27,0,2,2,2,15.7,0,13.047189562170502,1.5602476682433286,0,0.0,Low,0
ENT00002,Nair Solutions Ltd,Public Limited,REG851493,2006-11-11,7110,Belize,High,Gambling,High,Deepika Al-Farsi,Indian,6,0,0,0,0,0,1,0,19,3,1,6,359.0,116.41,9.77,0,Sarah Gupta,0,1,1,100,1,0,0,3,19.48,40,59.97866136776995,2.3767644911682972,2,100.0,High,1
ENT00003,Kumar Solutions Ltd,Partnership,REG546085,2006-10-27,7125,Cayman Islands,High,Cryptocurrency,High,Rajesh Nair,British,6,0,0,1,0,1,1,0,9,5,0,0,32.63,10.49,1.16,0,Ananya Gupta,0,1,1,100,1,0,0,1,19.52,70,66.51292546497024,0.7701082216960736,2,100.0,High,1
ENT00004,Patel Enterprises LLP,LLP,REG252579,2014-03-12,4432,Australia,Low,Mining,High,Mohammed Nair,Indian,4,1,1,0,0,0,1,1,6,5,1,9,4.16,0.9,1.46,0,Deepika Al-Farsi,1,6,1,100,1,1,0,0,12.14,30,89.72955074527657,0.9001613499442714,4,100.0,High,1
ENT00005,Mehta Trading Ltd,Public Limited,REG821296,2007-05-17,6923,Japan,Low,Education,Low,Ananya Nair,Nigerian,1,1,0,0,0,0,0,0,1,2,0,0,151.71,49.37,3.6,0,Priya Williams,0,2,1,0,0,1,1,3,18.97,0,13.465735902799727,1.5260563034950494,0,0.0,Low,0
ENT00006,Al-Farsi Enterprises Ltd,Public Limited,REG600273,2022-09-05,1333,UK,Low,Hospitality,Medium,Carlos Gupta,British,2,1,0,0,0,0,0,0,2,2,0,0,340.73,95.84,53.21,0,Fatima Nair,0,3,1,12,0,1,2,3,3.65,0,15.49306144334055,3.992865393272247,0,0.0,Low,0
ENT00007,Singh Capital LLP,Public Limited,REG409750,2020-07-29,2101,Canada,Low,Healthcare,Low,Carlos Mehta,Nigerian,1,1,0,0,0,0,0,0,3,1,0,0,207.08,74.24,15.64,0,Carlos Chen,0,1,1,0,0,1,1,3,5.76,0,11.931471805599454,2.8118094353930627,0,0.0,Low,0
ENT00008,Al-Farsi Trading LLP,Public Limited,REG883857,2020-01-30,2282,Australia,Low,Retail,Low,Wei Al-Farsi,Nigerian,4,0,0,0,0,0,0,0,14,4,0,0,404.16,49.58,255.42,0,Rajesh Kumar,0,2,1,20,1,1,1,3,6.25,40,33.54025100551105,5.546816725124555,0,100.0,High,1
ENT00009,Singh Ventures Ltd,Partnership,REG927586,2013-12-09,4525,USA,Low,Education,Low,Deepika Patel,British,2,1,0,0,0,0,0,0,3,2,0,0,211.99,81.89,33.68,0,Mohammed Reddy,0,2,1,0,0,1,1,1,12.4,0,16.931471805599454,3.546163151912341,0,0.0,Low,0
ENT00010,Iyer Group LLP,Partnership,REG756252,2017-11-06,3097,Germany,Low,Logistics,Low,Priya Al-Farsi,British,1,1,0,0,0,0,0,0,3,1,0,0,61.86,20.96,1.02,0,Priya Reddy,0,3,1,0,0,1,1,1,8.48,0,11.931471805599454,0.7030975114131134,0,0.0,Low,0
ENT00011,Al-Farsi Enterprises Ltd,Sole Proprietor,REG534046,2012-02-27,5176,UK,Low,Healthcare,Low,Fatima Kumar,Cayman,1,1,0,0,0,0,0,0,0,1,0,0,174.48,29.48,86.04,0,Arun Patel,0,2,1,0,0,1,1,4,14.18,0,5.0,4.466367783107633,0,0.0,Low,0
ENT00012,Chen Trading Ltd,Private Limited,REG280184,2015-11-15,3819,Vanuatu,High,Oil & Gas Trading,High,Wei Sharma,Nigerian,4,1,1,0,1,1,0,0,9,4,0,0,2.81,0.6,1.01,0,Deepika Iyer,1,10,0,100,1,0,0,2,10.46,30,31.51292546497023,0.6981347220709844,3,100.0,High,1
ENT00013,Singh Enterprises LLP,Private Limited,REG620678,2008-04-15,6589,Japan,Low,Manufacturing,Low,Sunita Chen,Nigerian,1,1,0,0,0,0,0,0,0,1,0,0,285.54,91.34,11.52,0,Fatima Sharma,0,1,1,0,0,1,1,2,18.05,0,5.0,2.5273273656719524,0,0.0,Low,0
ENT00014,Williams Capital LLP,Sole Proprietor,REG712729,2006-01-09,7416,Germany,Low,IT Services,Low,Mohammed Patel,Indian,2,1,0,0,0,0,0,0,2,2,0,0,148.6,36.81,38.17,0,Priya Kumar,0,2,1,0,0,1,1,4,20.32,0,15.49306144334055,3.66791114767774,0,0.0,Low,0
ENT00015,Nair Capital Ltd,Trust,REG944615,2012-05-02,5111,India,Low,Gambling,High,Arun Iyer,Cayman,4,0,0,1,1,1,1,0,12,4,0,0,110.02,32.38,12.88,0,Mohammed Gupta,1,5,1,100,1,1,0,5,14.0,70,62.82474678730768,2.6304489550786583,3,100.0,High,1
ENT00016,Patel Enterprises LLP,Public Limited,REG707916,2009-02-10,6288,Canada,Low,Retail,Low,Rajesh Nair,Indian,1,1,0,0,0,0,0,0,4,2,0,0,468.79,184.23,83.9,0,Priya Patel,0,3,1,0,0,1,1,3,17.23,0,18.0471895621705,4.441474093317302,0,0.0,Low,0
ENT00017,Williams Ventures LLP,LLP,REG869271,2010-03-21,5884,Australia,Low,Retail,Low,Ananya Sharma,Cayman,1,1,0,0,0,0,0,0,4,1,0,0,453.58,68.98,246.64,0,Sarah Iyer,0,1,1,0,0,1,1,0,16.12,0,13.047189562170502,5.511976078651031,0,0.0,Low,0
ENT00018,Nair Enterprises LLP,Sole Proprietor,REG939636,2020-01-30,2282,Belize,High,IT Services,Low,John Al-Farsi,American,4,0,1,0,0,0,1,1,15,6,1,3,221.2,43.04,92.08,0,Rajesh Nair,1,13,1,100,1,0,1,4,6.25,70,98.8629436111989,4.533459338434091,4,100.0,High,1
ENT00019,Al-Farsi Enterprises LLP,Public Limited,REG267033,2007-07-24,6855,Cayman Islands,High,Manufacturing,Low,Deepika Singh,British,5,0,1,0,0,0,0,0,17,3,1,8,126.25,18.44,70.93,0,Priya Kumar,1,11,0,100,1,0,1,3,18.78,70,29.451858789480823,4.2756934238792645,3,100.0,High,1
ENT00020,Kumar Group LLP,Partnership,REG825483,2006-10-26,7126,Japan,Low,Money Services,Medium,Wei Nair,UAE,2,1,0,0,0,0,0,0,2,2,0,0,405.16,73.73,183.97,0,Sunita Sharma,0,1,1,12,0,1,2,1,19.52,0,15.49306144334055,5.220193649766458,0,0.0,Low,0
ENT00021,Sharma Enterprises Ltd,Sole Proprietor,REG354913,2019-01-06,2671,USA,Low,Retail,Low,Wei Kumar,American,2,1,0,0,0,0,0,0,2,1,0,0,389.48,53.2,229.88,0,Rajesh Mehta,0,2,1,0,0,1,1,4,7.32,0,10.49306144334055,5.441898095025561,0,0.0,Low,0
ENT00022,Iyer Consulting Ltd,Public Limited,REG346605,2016-06-07,3614,Australia,Low,Logistics,Low,Arun Chen,Russian,1,1,0,0,0,0,0,0,1,1,0,0,297.56,54.73,133.37,0,Ananya Williams,0,2,1,0,0,1,1,3,9.9,0,8.465735902799727,4.9005971888873185,0,0.0,Low,0
ENT00023,Kumar Holdings Ltd,Trust,REG529937,2007-11-29,6727,Singapore,Medium,IT Services,Low,Deepika Singh,British,1,1,0,0,0,0,0,0,0,1,0,0,498.66,174.09,23.61,0,Arun Patel,0,1,1,15,0,2,1,5,18.43,0,5.0,3.2031528644029645,0,0.0,Low,0
ENT00024,Patel Group LLP,LLP,REG538973,2021-11-11,1631,Germany,Low,Logistics,Low,Priya Mehta,American,1,1,0,0,0,0,0,0,2,2,0,0,425.19,135.28,19.35,0,Arun Iyer,0,1,1,0,0,1,1,0,4.47,0,15.49306144334055,3.013080911888604,0,0.0,Low,0
ENT00025,Gupta Ventures LLP,Partnership,REG404881,2007-11-19,6737,Cayman Islands,High,Manufacturing,Low,Mohammed Williams,UAE,5,1,1,0,1,1,1,1,9,4,0,0,39.93,10.65,7.98,0,Mohammed Gupta,1,17,1,100,1,0,1,1,18.46,30,86.51292546497024,2.194999882314108,4,100.0,High,1
ENT00026,Sharma Ventures LLP,Private Limited,REG353439,2022-06-03,1427,UK,Low,Healthcare,Low,Mohammed Iyer,UAE,1,1,0,0,0,0,0,0,2,1,0,0,413.97,125.43,37.68,0,Sunita Sharma,0,3,1,0,0,1,1,2,3.91,0,10.49306144334055,3.6553226705850936,0,0.0,Low,0
ENT00027,Kumar Trading LLP,Public Limited,REG144900,2016-04-21,3661,Panama,High,Oil & Gas Trading,High,Ananya Al-Farsi,Nigerian,5,0,1,0,0,0,0,0,18,6,0,0,280.9,89.48,12.46,0,Wei Mehta,1,16,0,100,1,0,0,3,10.03,70,44.7221948958322,2.599722324216582,2,100.0,High,1
ENT00028,Reddy Enterprises Ltd,LLP,REG444881,2017-06-01,3255,Belize,High,Logistics,Low,Carlos Patel,Indian,5,0,0,0,0,0,1,1,17,6,0,0,189.45,55.41,23.22,0,John Mehta,1,11,1,95,1,0,1,0,8.92,40,99.45185878948082,3.1871787381249463,3,100.0,High,1
ENT00029,Nair Ventures Ltd,Public Limited,REG428637,2013-10-04,4591,Marshall Islands,High,Gambling,High,Mohammed Mehta,Nigerian,5,0,1,0,0,0,0,0,5,5,1,9,68.53,13.09,29.26,0,Ananya Chen,1,16,0,100,1,0,0,3,12.58,70,33.95879734614027,3.40982670836021,3,100.0,High,1
ENT00030,Mehta Trading Ltd,Private Limited,REG575775,2007-11-06,6750,India,Low,Manufacturing,Low,Carlos Reddy,Russian,1,1,0,0,0,0,0,0,4,1,0,0,36.99,12.89,1.68,0,Ananya Iyer,0,1,1,0,0,1,1,2,18.49,0,13.047189562170502,0.9858167945227653,0,0.0,Low,0
ENT00031,Williams Consulting Ltd,Private Limited,REG863574,2009-11-10,6015,India,Low,Manufacturing,Low,Mohammed Nair,Cayman,1,1,0,0,0,0,0,0,1,1,0,0,485.3,182.0,60.7,0,Wei Williams,0,2,1,0,0,1,1,2,16.48,0,8.465735902799727,4.122283930911342,0,0.0,Low,0
ENT00032,Iyer Holdings LLP,Trust,REG819872,2005-09-24,7523,Dubai,Medium,Retail,Low,Arun Gupta,UAE,1,1,0,0,0,0,0,0,1,1,0,0,394.8,107.7,71.7,0,Deepika Al-Farsi,0,1,1,15,0,2,1,5,20.61,0,8.465735902799727,4.286341384539473,0,0.0,Low,0
ENT00033,Mehta Solutions Ltd,Partnership,REG183224,2023-11-11,901,Germany,Low,Logistics,Low,Ananya Mehta,American,2,1,0,0,0,0,0,0,2,2,0,0,5.05,0.77,2.74,0,Rajesh Iyer,0,2,1,0,0,1,1,1,2.47,0,15.49306144334055,1.3190856114264407,0,0.0,Low,0
